Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,9872.0,35889.0,33402.0,635.0,2308.0,2284.0,27507.0
2020-08-22,,,,,,,,9872.0,35889.0,33402.0,635.0,2308.0,2284.0,27507.0
2020-08-27,677,2461,2496,13,47,38,27507,10699.0,38896.0,36700.0,680.0,2472.0,2505.0,27507.0
2020-08-29,684,2487,2545,13,47,38,27507.0,,,,,,,
2020-08-30,693,2519,2567,13,47,38,27507.0,,,,,,,
2020-08-31,,,,,,,,11023.0,40073.0,38023.0,703.0,2556.0,2615.0,27507.0
2020-09-01,"{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': nan}","{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': nan}","{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': nan}","{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': nan}","{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': nan}","{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': nan}","{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': 27507.0}",,,,,,,
2020-09-03,"{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': nan}","{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': nan}","{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': nan}","{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': nan}","{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': nan}","{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': nan}","{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': 27507.0}",,,,,,,
2020-09-04,"{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': nan}","{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': nan}","{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': nan}","{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': nan}","{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': nan}","{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': nan}","{('Los Angeles - Downtown',): nan, 'Los Angeles - Downtown': 27507.0}",,,,,,,
2020-09-05,,,,,,,,11384.0,41386.0,39418.0,740.0,2690.0,2777.0,27507.0
2020-09-07,{'Los Angeles - Downtown': nan},{'Los Angeles - Downtown': nan},{'Los Angeles - Downtown': nan},{'Los Angeles - Downtown': nan},{'Los Angeles - Downtown': nan},{'Los Angeles - Downtown': nan},{'Los Angeles - Downtown': nan},{'Los Angeles - Downtown': nan},{'Los Angeles - Downtown': nan},{'Los Angeles - Downtown': nan},{'Los Angeles - Downtown': nan},{'Los Angeles - Downtown': nan},{'Los Angeles - Downtown': nan},{'Los Angeles - Downtown': nan}
2020-09-08,744,2705,2794,13,47,38,27507.0,,,,,,,
